Variable,Categoría,Comuna,Valor
Material predominante de las paredes exteriores de la vivienda,Concreto vaciado,Comuna 10,3234
Material predominante de las paredes exteriores de la vivienda,Guadua,Comuna 10,175
Material predominante de las paredes exteriores de la vivienda,"Madera burda, tabla, tablon",Comuna 10,959
Material predominante de las paredes exteriores de la vivienda,Material prefabricado,Comuna 10,2159
Material predominante de las paredes exteriores de la vivienda,"Materiales de deshecho (Zinc, tela, carton, latas, plásticos, otros)",Comuna 10,87
Material predominante de las paredes exteriores de la vivienda,No tiene paredes,Comuna 10,1
Material predominante de las paredes exteriores de la vivienda,"Tapia pisada, bahareque, adobe",Comuna 10,2975
Material predominante de los pisos de esta vivienda,"Baldosa, vinilo, tableta, ladrillo, laminado",Comuna 10,31713
Material predominante de los pisos de esta vivienda,"Cemento, gravilla",Comuna 10,3498
Material predominante de los pisos de esta vivienda,"Madera burda, tabla, tablon, otro vegetal",Comuna 10,5097
Material predominante de los pisos de esta vivienda,"Marmol, parque, madera pulida y lacada",Comuna 10,2266
Material predominante de los pisos de esta vivienda,"Tierra, arena, barro",Comuna 10,583
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Esta vivienda No tiene servicio sanitario?,Comuna 10,515
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro con descarga directa a fuentes de agua (bajamar)?,Comuna 10,187
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro conectado a pozo séptico?,Comuna 10,1130
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro conectado al alcantarillado?,Comuna 10,41073
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro sin conexión?,Comuna 10,132
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Letrina?,Comuna 10,46
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,No informa,Comuna 10,136
Tipo vivienda,Apartamento,Comuna 10,20614
Tipo vivienda,Casa,Comuna 10,22001
Tipo vivienda,"Otro (Contenedor, carpa, embarcación, vagon, cueva, refugio natural, etc",Comuna 10,3
Tipo vivienda,Tipo cuarto,Comuna 10,437
Tipo vivienda,Vivienda tradicional Indígena,Comuna 10,164
Tipo vivienda,"Vivienda tradicional Étnica (Afrocolombiana, Isleña, Rrom)",Comuna 10,0
"¿En su vida diaria tiene dificultades para: Oir,hablar,ver,moverse,caminar, agar",No,Comuna 11,32576
"¿En su vida diaria tiene dificultades para: Oir,hablar,ver,moverse,caminar, agar",Sí,Comuna 11,2971
Fuente para preparar los alimentos,Acueducto público?,Comuna 11,32951
Fuente para preparar los alimentos,Acueducto veredal?,Comuna 11,481
Fuente para preparar los alimentos,Agua embotellada o en bolsa?,Comuna 11,70
Fuente para preparar los alimentos,Agua lluvia?,Comuna 11,360
Fuente para preparar los alimentos,Aguatero?,Comuna 11,12
Fuente para preparar los alimentos,Carrotanque?,Comuna 11,108
Fuente para preparar los alimentos,No informa,Comuna 11,124
Fuente para preparar los alimentos,Pila pública?,Comuna 11,12
Fuente para preparar los alimentos,Pozo con bomba?,Comuna 11,156
Fuente para preparar los alimentos,"Pozo sin bomba, aljibe, jaguey o barreno?",Comuna 11,350
Fuente para preparar los alimentos,Red de distribución comunitaria?,Comuna 11,306
Fuente para preparar los alimentos,"RÍo, quebrada, manantial, nacimiento?",Comuna 11,380
Lugar donde preparan los alimentos,En un cuarto usado solo para cocinar?,Comuna 11,33277
Lugar donde preparan los alimentos,En un cuarto usado también para dormir?,Comuna 11,362
Lugar donde preparan los alimentos,"En un patio, corredor, enramada o al aire libre?",Comuna 11,549
Lugar donde preparan los alimentos,En una sala-comedor con lavaplatos?,Comuna 11,957
Lugar donde preparan los alimentos,En una sala-comedor sin lavaplatos?,Comuna 11,125
Lugar donde preparan los alimentos,No informa,Comuna 11,40
Lugar donde preparan los alimentos,No preparan alimentos en la vivienda?,Comuna 11,237
¿En general considera que la calidad de la prestación del servicio de salud reci,Bueno,Comuna 11,1901
¿En general considera que la calidad de la prestación del servicio de salud reci,Malo,Comuna 11,493
¿En general considera que la calidad de la prestación del servicio de salud reci,Muy Malo,Comuna 11,264
¿En general considera que la calidad de la prestación del servicio de salud reci,Muy bueno,Comuna 11,533
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",No,Comuna 11,25089
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",No informa,Comuna 11,240
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",Sí,Comuna 11,8352
Ha tenido algún hijo(a) nacido vivo(a),No,Comuna 11,5600
Ha tenido algún hijo(a) nacido vivo(a),No informa,Comuna 11,233
Ha tenido algún hijo(a) nacido vivo(a),Sí,Comuna 11,10935
¿Lo atendieron?,No,Comuna 11,108
¿Lo atendieron?,No informa,Comuna 11,0
¿Lo atendieron?,Sí,Comuna 11,3191
¿Donde nacio?,En este mpio,Comuna 11,23360
¿Donde nacio?,En otro mpio Colombiano,Comuna 11,11539
¿Donde nacio?,En otro país,Comuna 11,433
¿Donde nacio?,No Informa,Comuna 11,215
¿En donde vivía hace 12 meses ?,En este mpio,Comuna 11,34303
¿En donde vivía hace 12 meses ?,En otro mpio colombiano,Comuna 11,469
¿En donde vivía hace 12 meses ?,En otro país,Comuna 11,217
¿En donde vivía hace 12 meses ?,No Informa,Comuna 11,226
¿En donde vivía hace 12 meses ?,No había nacido,Comuna 11,332
¿En donde vivía hace 5 años ?,En este mpio,Comuna 11,31198
¿En donde vivía hace 5 años ?,En otro mpio Colombiano,Comuna 11,1815
¿En donde vivía hace 5 años ?,En otro país,Comuna 11,443
¿En donde vivía hace 5 años ?,No Informa,Comuna 11,301
¿En donde vivía hace 5 años ?,No había nacido,Comuna 11,1790
¿Sabe leer y escribir?,No,Comuna 11,1353
¿Sabe leer y escribir?,No informa,Comuna 11,238
¿Sabe leer y escribir?,Sí,Comuna 11,32090
¿Cuantos años cumplidos tiene?,de 00 A 04 Años,Comuna 11,1866
¿Cuantos años cumplidos tiene?,de 05 A 09 Años,Comuna 11,2097
¿Cuantos años cumplidos tiene?,de 10 A 14 Años,Comuna 11,2431
¿Cuantos años cumplidos tiene?,de 100 y más Años,Comuna 11,8
¿Cuantos años cumplidos tiene?,de 15 A 19 Años,Comuna 11,2791
¿Cuantos años cumplidos tiene?,de 20 A 24 Años,Comuna 11,3083
¿Cuantos años cumplidos tiene?,de 25 A 29 Años,Comuna 11,2905
¿Cuantos años cumplidos tiene?,de 30 A 34 Años,Comuna 11,2603
¿Cuantos años cumplidos tiene?,de 35 A 39 Años,Comuna 11,2575
¿Cuantos años cumplidos tiene?,de 40 A 44 Años,Comuna 11,2181
¿Cuantos años cumplidos tiene?,de 45 A 49 Años,Comuna 11,2227
¿Cuantos años cumplidos tiene?,de 50 A 54 Años,Comuna 11,2365
¿Cuantos años cumplidos tiene?,de 55 A 59 Años,Comuna 11,2334
¿Cuantos años cumplidos tiene?,de 60 A 64 Años,Comuna 11,1969
¿Cuantos años cumplidos tiene?,de 65 A 69 Años,Comuna 11,1486
¿Cuantos años cumplidos tiene?,de 70 A 74 Años,Comuna 11,1069
¿Cuantos años cumplidos tiene?,de 75 A 79 Años,Comuna 11,670
¿Cuantos años cumplidos tiene?,de 80 A 84 Años,Comuna 11,488
¿Cuantos años cumplidos tiene?,de 85 A 89 Años,Comuna 11,269
¿Cuantos años cumplidos tiene?,de 90 A 94 Años,Comuna 11,112
¿Cuantos años cumplidos tiene?,de 95 A 99 Años,Comuna 11,18
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",No,Comuna 11,30933
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",No informa,Comuna 11,215
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",Sí,Comuna 11,4399
"Actualmente, ¿Su estado civil es?",Casado(a)?,Comuna 11,6846
"Actualmente, ¿Su estado civil es?",Divorciado(a)?,Comuna 11,361
"Actualmente, ¿Su estado civil es?",No Informa,Comuna 11,200
"Actualmente, ¿Su estado civil es?",Separado(a) de matrimonio?,Comuna 11,1204
"Actualmente, ¿Su estado civil es?",Separado(a) de unión libre?,Comuna 11,1408
"Actualmente, ¿Su estado civil es?","Soltero(a)?(Nunca se ha casado, ni ha vivido en unión libre)",Comuna 11,13177
"Actualmente, ¿Su estado civil es?",Unión libre?,Comuna 11,6750
"Actualmente, ¿Su estado civil es?",Viudo(a)?,Comuna 11,1638
¿Cuál es el nivel educativo más alto alcanzado?,Básica primaria,Comuna 11,9012
¿Cuál es el nivel educativo más alto alcanzado?,Básica secundaria,Comuna 11,5997
Material predominante de los pisos de esta vivienda,Alfombra,Comuna 11,61
¿Cuál es el nivel educativo más alto alcanzado?,"Especialización, maestría, doctorado",Comuna 11,555
¿Cuál es el nivel educativo más alto alcanzado?,Media academica o clasica,Comuna 11,8927
¿Cuál es el nivel educativo más alto alcanzado?,Media tecnica,Comuna 11,364
¿Cuál es el nivel educativo más alto alcanzado?,Ninguno,Comuna 11,873
¿Cuál es el nivel educativo más alto alcanzado?,No informa,Comuna 11,324
¿Cuál es el nivel educativo más alto alcanzado?,Normalista,Comuna 11,99
¿Cuál es el nivel educativo más alto alcanzado?,Preescolar,Comuna 11,687
¿Cuál es el nivel educativo más alto alcanzado?,Técnica profesional o Tecnológica,Comuna 11,3460
¿Cuál es el nivel educativo más alto alcanzado?,Universitario,Comuna 11,3383
Parentesco con el jefe del hogar,"Hijo(a), Hijastro(a)",Comuna 11,12024
Parentesco con el jefe del hogar,Jefe(a) del hogar,Comuna 11,11858
Parentesco con el jefe del hogar,Otros NO parientes,Comuna 11,454
Parentesco con el jefe del hogar,Otros Parientes,Comuna 11,5292
Parentesco con el jefe del hogar,"Pareja (Conyuge, compañero(a), esposo(a))",Comuna 11,5919
"Para tratar ese problema de salud, ¿qué hizo principalmente",Acudió a la entidad de seguridad social en salud de la cual es filiado(a)?,Comuna 11,3299
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a otro médico de un grupo étnico? (curandero, yerbatero, etc.)",Comuna 11,1
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a un boticario, farmacéuta, droguista?",Comuna 11,126
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a un médico particular? (general, especialista, odontólogo, terapeuta u otro)",Comuna 11,230
"Para tratar ese problema de salud, ¿qué hizo principalmente",Acudió a una autoridad indígena espiritual?,Comuna 11,0
"Para tratar ese problema de salud, ¿qué hizo principalmente","Asistió a terapias alternativas? (acupuntura, esencias florales, musicoterapias, homeópata, etc.)",Comuna 11,10
"Para tratar ese problema de salud, ¿qué hizo principalmente",No Informa,Comuna 11,0
"Para tratar ese problema de salud, ¿qué hizo principalmente",No hizo nada,Comuna 11,142
"Para tratar ese problema de salud, ¿qué hizo principalmente",Se autorrecetó,Comuna 11,182
"Para tratar ese problema de salud, ¿qué hizo principalmente",Usó remedios caseros?,Comuna 11,409
¿Cual es el sexo de...?,Hombre,Comuna 11,16886
¿Cual es el sexo de...?,Mujer,Comuna 11,18661
¿Actividad durante la semana pasada . . . :?,Busco trabajo?,Comuna 11,1568
¿Actividad durante la semana pasada . . . :?,Estudió?,Comuna 11,5381
¿Actividad durante la semana pasada . . . :?,Estuvo en otra situación?,Comuna 11,1531
¿Actividad durante la semana pasada . . . :?,Está incapacitado(a) permanentemente para trabajar?,Comuna 11,324
¿Actividad durante la semana pasada . . . :?,No Informa,Comuna 11,393
¿Actividad durante la semana pasada . . . :?,"No trabajó, pero tenía un empleo, trabajo o negocio por el que recibe ingresos?",Comuna 11,901
¿Actividad durante la semana pasada . . . :?,Realizó oficios del hogar?,Comuna 11,5826
¿Actividad durante la semana pasada . . . :?,Trabajó o ayudó en un negocio por lo menos una hora sin que le pagaran?,Comuna 11,123
¿Actividad durante la semana pasada . . . :?,Trabajó por lo menos una hora en una actividad que le generó algún ingreso?,Comuna 11,13487
¿Actividad durante la semana pasada . . . :?,"Vivió de jubilación, pensión o renta?",Comuna 11,2050
Uso de la Unidad (Espacio independiente y separado),Lugar Especial de Alojamiento - LEA,Comuna 11,0
Uso de la Unidad (Espacio independiente y separado),Mixto (Espacio independiente y separado que combina vivienda con otro uso no residencial),Comuna 11,471
Uso de la Unidad (Espacio independiente y separado),Vivienda,Comuna 11,35076
Estrato de esta vivienda,Estrato 1,Comuna 11,9131
Estrato de esta vivienda,Estrato 2,Comuna 11,8900
Estrato de esta vivienda,Estrato 3,Comuna 11,15774
Estrato de esta vivienda,Estrato 4,Comuna 11,698
Estrato de esta vivienda,Estrato 5,Comuna 11,136
Estrato de esta vivienda,Estrato 6,Comuna 11,200
Estrato de esta vivienda,No sabe el estrato,Comuna 11,18
Estrato de esta vivienda,Sin estrato,Comuna 11,82
La vivienda cuenta con servicio de Energía Eléctrica,No,Comuna 11,608
La vivienda cuenta con servicio de Energía Eléctrica,Si,Comuna 11,34939
La vivienda cuenta con servicios de Acueducto?,No,Comuna 11,1582
La vivienda cuenta con servicios de Acueducto?,Si,Comuna 11,33965
La vivienda cuenta con servicio de Alcantarillado?,No,Comuna 11,2542
La vivienda cuenta con servicio de Alcantarillado?,Si,Comuna 11,33005
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,No,Comuna 11,7906
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,No informa,Comuna 11,110
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,Si,Comuna 11,27531
¿Cuántas veces por semana?,1 vez,Comuna 11,487
¿Cuántas veces por semana?,2 veces,Comuna 11,28019
¿Cuántas veces por semana?,3 veces,Comuna 11,4671
¿Cuántas veces por semana?,4 veces,Comuna 11,128
¿Cuántas veces por semana?,5 veces,Comuna 11,190
¿Cuántas veces por semana?,6 veces,Comuna 11,10
¿Cuántas veces por semana?,7 veces,Comuna 11,49
¿Cuántas veces por semana?,Mayor periodicidad,Comuna 11,16
¿Cuántas veces por semana?,No sabe,Comuna 11,66
La vivienda cuenta con servicio de Recolección de basuras?,No,Comuna 11,1911
La vivienda cuenta con servicio de Recolección de basuras?,Si,Comuna 11,33636
La vivienda cuenta con servicio de internet (Fijo o Movil)?,No,Comuna 11,13746
La vivienda cuenta con servicio de internet (Fijo o Movil)?,No informa,Comuna 11,110
La vivienda cuenta con servicio de internet (Fijo o Movil)?,Si,Comuna 11,21691
Condición de ocupación de la Vivienda,Ocupada con personas presentes,Comuna 11,35547
Material predominante de las paredes exteriores de la vivienda,"Bloque, ladrillo, piedra, madera pulida",Comuna 11,27433
Material predominante de las paredes exteriores de la vivienda,"Caña, esterilla, otros vegetales",Comuna 11,442
Material predominante de las paredes exteriores de la vivienda,Concreto vaciado,Comuna 11,2679
Material predominante de las paredes exteriores de la vivienda,Guadua,Comuna 11,196
Material predominante de las paredes exteriores de la vivienda,"Madera burda, tabla, tablon",Comuna 11,900
Material predominante de las paredes exteriores de la vivienda,Material prefabricado,Comuna 11,277
Material predominante de las paredes exteriores de la vivienda,"Materiales de deshecho (Zinc, tela, carton, latas, plásticos, otros)",Comuna 11,134
Material predominante de las paredes exteriores de la vivienda,No tiene paredes,Comuna 11,0
Material predominante de las paredes exteriores de la vivienda,"Tapia pisada, bahareque, adobe",Comuna 11,3486
Material predominante de los pisos de esta vivienda,"Baldosa, vinilo, tableta, ladrillo, laminado",Comuna 11,24340
Material predominante de los pisos de esta vivienda,"Cemento, gravilla",Comuna 11,3539
Material predominante de los pisos de esta vivienda,"Madera burda, tabla, tablon, otro vegetal",Comuna 11,5108
Material predominante de los pisos de esta vivienda,"Marmol, parque, madera pulida y lacada",Comuna 11,1506
Material predominante de los pisos de esta vivienda,"Tierra, arena, barro",Comuna 11,993
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Esta vivienda No tiene servicio sanitario?,Comuna 11,720
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro con descarga directa a fuentes de agua (bajamar)?,Comuna 11,269
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro conectado a pozo séptico?,Comuna 11,1521
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro conectado al alcantarillado?,Comuna 11,32774
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro sin conexión?,Comuna 11,94
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Letrina?,Comuna 11,59
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,No informa,Comuna 11,110
Tipo vivienda,Apartamento,Comuna 11,14467
Tipo vivienda,Casa,Comuna 11,20116
Tipo vivienda,"Otro (Contenedor, carpa, embarcación, vagon, cueva, refugio natural, etc",Comuna 11,11
Tipo vivienda,Tipo cuarto,Comuna 11,675
Tipo vivienda,Vivienda tradicional Indígena,Comuna 11,258
Tipo vivienda,"Vivienda tradicional Étnica (Afrocolombiana, Isleña, Rrom)",Comuna 11,20
"¿En su vida diaria tiene dificultades para: Oir,hablar,ver,moverse,caminar, agar",No,Comuna 12,35544
"¿En su vida diaria tiene dificultades para: Oir,hablar,ver,moverse,caminar, agar",Sí,Comuna 12,3209
Fuente para preparar los alimentos,Acueducto público?,Comuna 12,35301
Fuente para preparar los alimentos,Acueducto veredal?,Comuna 12,625
Fuente para preparar los alimentos,Agua embotellada o en bolsa?,Comuna 12,87
Fuente para preparar los alimentos,Agua lluvia?,Comuna 12,569
Fuente para preparar los alimentos,Aguatero?,Comuna 12,64
Fuente para preparar los alimentos,Carrotanque?,Comuna 12,75
Fuente para preparar los alimentos,No informa,Comuna 12,157
Fuente para preparar los alimentos,Pila pública?,Comuna 12,11
Fuente para preparar los alimentos,Pozo con bomba?,Comuna 12,288
Fuente para preparar los alimentos,"Pozo sin bomba, aljibe, jaguey o barreno?",Comuna 12,421
Fuente para preparar los alimentos,Red de distribución comunitaria?,Comuna 12,373
Fuente para preparar los alimentos,"RÍo, quebrada, manantial, nacimiento?",Comuna 12,596
Lugar donde preparan los alimentos,En un cuarto usado solo para cocinar?,Comuna 12,35832
Lugar donde preparan los alimentos,En un cuarto usado también para dormir?,Comuna 12,354
Lugar donde preparan los alimentos,"En un patio, corredor, enramada o al aire libre?",Comuna 12,948
Lugar donde preparan los alimentos,En una sala-comedor con lavaplatos?,Comuna 12,1209
Lugar donde preparan los alimentos,En una sala-comedor sin lavaplatos?,Comuna 12,171
Lugar donde preparan los alimentos,No informa,Comuna 12,53
Lugar donde preparan los alimentos,No preparan alimentos en la vivienda?,Comuna 12,186
¿En general considera que la calidad de la prestación del servicio de salud reci,Bueno,Comuna 12,2308
¿En general considera que la calidad de la prestación del servicio de salud reci,Malo,Comuna 12,559
¿En general considera que la calidad de la prestación del servicio de salud reci,Muy Malo,Comuna 12,299
¿En general considera que la calidad de la prestación del servicio de salud reci,Muy bueno,Comuna 12,555
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",No,Comuna 12,27077
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",No informa,Comuna 12,258
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",Sí,Comuna 12,9299
Ha tenido algún hijo(a) nacido vivo(a),No,Comuna 12,5826
Ha tenido algún hijo(a) nacido vivo(a),No informa,Comuna 12,244
Ha tenido algún hijo(a) nacido vivo(a),Sí,Comuna 12,11986
¿Lo atendieron?,No,Comuna 12,125
¿Lo atendieron?,No informa,Comuna 12,0
¿Lo atendieron?,Sí,Comuna 12,3721
¿Donde nacio?,En este mpio,Comuna 12,25339
¿Donde nacio?,En otro mpio Colombiano,Comuna 12,12691
¿Donde nacio?,En otro país,Comuna 12,487
¿Donde nacio?,No Informa,Comuna 12,236
¿En donde vivía hace 12 meses ?,En este mpio,Comuna 12,37413
¿En donde vivía hace 12 meses ?,En otro mpio colombiano,Comuna 12,461
¿En donde vivía hace 12 meses ?,En otro país,Comuna 12,252
¿En donde vivía hace 12 meses ?,No Informa,Comuna 12,247
¿En donde vivía hace 12 meses ?,No había nacido,Comuna 12,380
¿En donde vivía hace 5 años ?,En este mpio,Comuna 12,34231
¿En donde vivía hace 5 años ?,En otro mpio Colombiano,Comuna 12,1625
¿En donde vivía hace 5 años ?,En otro país,Comuna 12,528
¿En donde vivía hace 5 años ?,No Informa,Comuna 12,318
¿En donde vivía hace 5 años ?,No había nacido,Comuna 12,2051
¿Sabe leer y escribir?,No,Comuna 12,1845
¿Sabe leer y escribir?,No informa,Comuna 12,257
¿Sabe leer y escribir?,Sí,Comuna 12,34532
¿Cuantos años cumplidos tiene?,de 00 A 04 Años,Comuna 12,2119
¿Cuantos años cumplidos tiene?,de 05 A 09 Años,Comuna 12,2465
¿Cuantos años cumplidos tiene?,de 10 A 14 Años,Comuna 12,2814
¿Cuantos años cumplidos tiene?,de 100 y más Años,Comuna 12,8
¿Cuantos años cumplidos tiene?,de 15 A 19 Años,Comuna 12,3107
¿Cuantos años cumplidos tiene?,de 20 A 24 Años,Comuna 12,3457
¿Cuantos años cumplidos tiene?,de 25 A 29 Años,Comuna 12,3192
¿Cuantos años cumplidos tiene?,de 30 A 34 Años,Comuna 12,2850
¿Cuantos años cumplidos tiene?,de 35 A 39 Años,Comuna 12,2920
¿Cuantos años cumplidos tiene?,de 40 A 44 Años,Comuna 12,2555
¿Cuantos años cumplidos tiene?,de 45 A 49 Años,Comuna 12,2500
¿Cuantos años cumplidos tiene?,de 50 A 54 Años,Comuna 12,2420
¿Cuantos años cumplidos tiene?,de 55 A 59 Años,Comuna 12,2349
¿Cuantos años cumplidos tiene?,de 60 A 64 Años,Comuna 12,1910
¿Cuantos años cumplidos tiene?,de 65 A 69 Años,Comuna 12,1484
¿Cuantos años cumplidos tiene?,de 70 A 74 Años,Comuna 12,1076
¿Cuantos años cumplidos tiene?,de 75 A 79 Años,Comuna 12,728
¿Cuantos años cumplidos tiene?,de 80 A 84 Años,Comuna 12,434
¿Cuantos años cumplidos tiene?,de 85 A 89 Años,Comuna 12,242
¿Cuantos años cumplidos tiene?,de 90 A 94 Años,Comuna 12,107
¿Cuantos años cumplidos tiene?,de 95 A 99 Años,Comuna 12,16
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",No,Comuna 12,33633
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",No informa,Comuna 12,235
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",Sí,Comuna 12,4885
"Actualmente, ¿Su estado civil es?",Casado(a)?,Comuna 12,7899
"Actualmente, ¿Su estado civil es?",Divorciado(a)?,Comuna 12,297
"Actualmente, ¿Su estado civil es?",No Informa,Comuna 12,220
"Actualmente, ¿Su estado civil es?",Separado(a) de matrimonio?,Comuna 12,1104
"Actualmente, ¿Su estado civil es?",Separado(a) de unión libre?,Comuna 12,1517
"Actualmente, ¿Su estado civil es?","Soltero(a)?(Nunca se ha casado, ni ha vivido en unión libre)",Comuna 12,13863
"Actualmente, ¿Su estado civil es?",Unión libre?,Comuna 12,7617
"Actualmente, ¿Su estado civil es?",Viudo(a)?,Comuna 12,1652
¿Cuál es el nivel educativo más alto alcanzado?,Básica primaria,Comuna 12,10510
¿Cuál es el nivel educativo más alto alcanzado?,Básica secundaria,Comuna 12,6381
Material predominante de los pisos de esta vivienda,Alfombra,Comuna 12,107
¿Cuál es el nivel educativo más alto alcanzado?,"Especialización, maestría, doctorado",Comuna 12,706
¿Cuál es el nivel educativo más alto alcanzado?,Media academica o clasica,Comuna 12,9390
¿Cuál es el nivel educativo más alto alcanzado?,Media tecnica,Comuna 12,380
¿Cuál es el nivel educativo más alto alcanzado?,Ninguno,Comuna 12,1255
¿Cuál es el nivel educativo más alto alcanzado?,No informa,Comuna 12,311
¿Cuál es el nivel educativo más alto alcanzado?,Normalista,Comuna 12,93
¿Cuál es el nivel educativo más alto alcanzado?,Preescolar,Comuna 12,769
¿Cuál es el nivel educativo más alto alcanzado?,Técnica profesional o Tecnológica,Comuna 12,3338
¿Cuál es el nivel educativo más alto alcanzado?,Universitario,Comuna 12,3501
Parentesco con el jefe del hogar,"Hijo(a), Hijastro(a)",Comuna 12,13714
Parentesco con el jefe del hogar,Jefe(a) del hogar,Comuna 12,12368
Parentesco con el jefe del hogar,Otros NO parientes,Comuna 12,456
Parentesco con el jefe del hogar,Otros Parientes,Comuna 12,5448
Parentesco con el jefe del hogar,"Pareja (Conyuge, compañero(a), esposo(a))",Comuna 12,6767
"Para tratar ese problema de salud, ¿qué hizo principalmente",Acudió a la entidad de seguridad social en salud de la cual es filiado(a)?,Comuna 12,3846
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a otro médico de un grupo étnico? (curandero, yerbatero, etc.)",Comuna 12,1
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a un boticario, farmacéuta, droguista?",Comuna 12,110
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a un médico particular? (general, especialista, odontólogo, terapeuta u otro)",Comuna 12,252
"Para tratar ese problema de salud, ¿qué hizo principalmente",Acudió a una autoridad indígena espiritual?,Comuna 12,1
"Para tratar ese problema de salud, ¿qué hizo principalmente","Asistió a terapias alternativas? (acupuntura, esencias florales, musicoterapias, homeópata, etc.)",Comuna 12,3
"Para tratar ese problema de salud, ¿qué hizo principalmente",No Informa,Comuna 12,3
"Para tratar ese problema de salud, ¿qué hizo principalmente",No hizo nada,Comuna 12,128
"Para tratar ese problema de salud, ¿qué hizo principalmente",Se autorrecetó,Comuna 12,180
"Para tratar ese problema de salud, ¿qué hizo principalmente",Usó remedios caseros?,Comuna 12,361
¿Cual es el sexo de...?,Hombre,Comuna 12,18421
¿Cual es el sexo de...?,Mujer,Comuna 12,20332
¿Actividad durante la semana pasada . . . :?,Busco trabajo?,Comuna 12,2025
¿Actividad durante la semana pasada . . . :?,Estudió?,Comuna 12,5881
¿Actividad durante la semana pasada . . . :?,Estuvo en otra situación?,Comuna 12,1506
¿Actividad durante la semana pasada . . . :?,Está incapacitado(a) permanentemente para trabajar?,Comuna 12,448
¿Actividad durante la semana pasada . . . :?,No Informa,Comuna 12,459
¿Actividad durante la semana pasada . . . :?,"No trabajó, pero tenía un empleo, trabajo o negocio por el que recibe ingresos?",Comuna 12,847
¿Actividad durante la semana pasada . . . :?,Realizó oficios del hogar?,Comuna 12,6305
¿Actividad durante la semana pasada . . . :?,Trabajó o ayudó en un negocio por lo menos una hora sin que le pagaran?,Comuna 12,214
¿Actividad durante la semana pasada . . . :?,Trabajó por lo menos una hora en una actividad que le generó algún ingreso?,Comuna 12,14604
¿Actividad durante la semana pasada . . . :?,"Vivió de jubilación, pensión o renta?",Comuna 12,1880
Uso de la Unidad (Espacio independiente y separado),Lugar Especial de Alojamiento - LEA,Comuna 12,0
Uso de la Unidad (Espacio independiente y separado),Mixto (Espacio independiente y separado que combina vivienda con otro uso no residencial),Comuna 12,745
Uso de la Unidad (Espacio independiente y separado),Vivienda,Comuna 12,38008
Estrato de esta vivienda,Estrato 1,Comuna 12,6955
Estrato de esta vivienda,Estrato 2,Comuna 12,21403
Estrato de esta vivienda,Estrato 3,Comuna 12,8889
Estrato de esta vivienda,Estrato 4,Comuna 12,318
Estrato de esta vivienda,Estrato 5,Comuna 12,186
Estrato de esta vivienda,Estrato 6,Comuna 12,149
Estrato de esta vivienda,No sabe el estrato,Comuna 12,8
Estrato de esta vivienda,Sin estrato,Comuna 12,128
La vivienda cuenta con servicio de Energía Eléctrica,No,Comuna 12,717
La vivienda cuenta con servicio de Energía Eléctrica,Si,Comuna 12,38036
La vivienda cuenta con servicios de Acueducto?,No,Comuna 12,2333
La vivienda cuenta con servicios de Acueducto?,Si,Comuna 12,36420
La vivienda cuenta con servicio de Alcantarillado?,No,Comuna 12,3536
